# source	operation	fingerprint	semantic-fingerprint	classification	owner	evidence
cmd/metasystem/ambient_controls_test.go	external-executable	3fbc8a674245eaed	f6a044f583779aa5	host-readonly	"TestMain fixture subprocess owns invoking executable ""go"""	TestMain@62 exec.Command path[0]="go"
cmd/metasystem/ambient_controls_test.go	process-environment	5af6afd3724642db	c37d56c43f7acc5e	process-private	TestMain owns the source-built wait candidate path and its child reuse marker inside this isolated test process before tests start	TestMain@74 call os.Setenv("METASYSTEM_WAIT_BINARY_SOURCE", waitCandidate)
cmd/metasystem/ambient_controls_test.go	process-environment	d9d8d9bc9407d3fb	c37d56c43f7acc5e	process-private	TestMain owns the source-built wait candidate path and its child reuse marker inside this isolated test process before tests start	TestMain@69 call os.Setenv("METASYSTEM_WAIT_BINARY", waitCandidate)
cmd/metasystem/ambient_controls_test.go	unknown-external-path	57c07a541295e1bd	2cc8dea8e31dbdc7	fixture-data	TestGoTestHarnessKeepsDeclaredContextCostEngine operation 57c07a541295e1bd reviewed fixture path or command wrapper	TestGoTestHarnessKeepsDeclaredContextCostEngine@172 exec.Command path[0]=testBinary
cmd/metasystem/ambient_controls_test.go	unknown-external-path	bf25e1e6d9dbf72e	4c7149f7fabcfb89	fixture-data	TestMain fixture namespace owns waitCandidateDir	TestMain@65 os.RemoveAll path[0]=waitCandidateDir
cmd/metasystem/ambient_controls_test.go	unknown-external-path	bf25e1e6d9dbf72e-2	4c7149f7fabcfb89	fixture-data	TestMain fixture namespace owns waitCandidateDir	TestMain@70 os.RemoveAll path[0]=waitCandidateDir
cmd/metasystem/ambient_controls_test.go	unknown-external-path	bf25e1e6d9dbf72e-3	4c7149f7fabcfb89	fixture-data	TestMain removes only its own MkdirTemp waitCandidateDir when publishing the private candidate source marker fails	TestMain@75 os.RemoveAll path[0]=waitCandidateDir
cmd/metasystem/ambient_controls_test.go	unknown-external-path	bf25e1e6d9dbf72e-4	4c7149f7fabcfb89	fixture-data	TestMain fixture namespace owns waitCandidateDir	TestMain@88 os.RemoveAll path[0]=waitCandidateDir
cmd/metasystem/ambient_controls_test.go	unknown-external-path	da6203fac7bee2be	cf748d55c7d56f64	fixture-data	TestGoTestHarnessRejectsHostileInheritedEngine operation da6203fac7bee2be reviewed fixture path or command wrapper	TestGoTestHarnessRejectsHostileInheritedEngine@98 os.MkdirAll path[0]=filepath.Dir(hostileEngine)
cmd/metasystem/ambient_controls_test.go	unknown-external-path	e99d1e5999f0a55b	cf748d55c7d56f64	fixture-data	TestGoTestHarnessRejectsHostileInheritedEngine operation e99d1e5999f0a55b reviewed fixture path or command wrapper	TestGoTestHarnessRejectsHostileInheritedEngine@117 exec.Command path[0]=testBinary
cmd/metasystem/audit_test.go	external-executable	a636197f6ba6c53b	9a8fc8fb3d3cf862	host-readonly	runAuditStopGit operation a636197f6ba6c53b operating-system executable or read-only path owner	runAuditStopGit@242 exec.Command path[0]="git"
cmd/metasystem/audit_test.go	process-environment	0c6a050ece7d7d33	45569b9dc2891952	process-private	TestAuditStopDecisionSurfaceVerb operation 0c6a050ece7d7d33 isolated by testenv.Main process boundary	TestAuditStopDecisionSurfaceVerb@100 call t.Setenv("GIT_CONFIG_SYSTEM", os.DevNull)
cmd/metasystem/audit_test.go	process-environment	5308a3e5d3401da6	45569b9dc2891952	process-private	TestAuditStopDecisionSurfaceVerb operation 5308a3e5d3401da6 isolated by testenv.Main process boundary	TestAuditStopDecisionSurfaceVerb@101 call t.Setenv("GIT_CONFIG_NOSYSTEM", "1")
cmd/metasystem/audit_test.go	process-environment	c42fb55d2dad6de1	45569b9dc2891952	process-private	TestAuditStopDecisionSurfaceVerb operation c42fb55d2dad6de1 isolated by testenv.Main process boundary	TestAuditStopDecisionSurfaceVerb@99 call t.Setenv("GIT_CONFIG_GLOBAL", os.DevNull)
cmd/metasystem/audit_test.go	unknown-external-path	3879cb467826e10b	77d81ed73dedff86	fixture-data	TestAuditStopDecisionSurfaceRefusesRecordTheGoalParserRejects operation 3879cb467826e10b reviewed fixture-owned path or command wrapper	TestAuditStopDecisionSurfaceRefusesRecordTheGoalParserRejects@190 os.ReadFile path[0]=filepath.Join(root, filepath.FromSlash(declarationPath))
cmd/metasystem/audit_test.go	unknown-external-path	3da7488abd9c3929	77d81ed73dedff86	fixture-data	TestAuditStopDecisionSurfaceRefusesRecordTheGoalParserRejects operation 3da7488abd9c3929 reviewed fixture-owned path or command wrapper	TestAuditStopDecisionSurfaceRefusesRecordTheGoalParserRejects@194 os.Remove path[0]=filepath.Join(root, filepath.FromSlash(declarationPath))
cmd/metasystem/audit_test.go	unknown-external-path	6ad09773dd9b5b98	f02017254d341e6b	fixture-data	writeAuditStopFixture operation 6ad09773dd9b5b98 reviewed fixture path or command wrapper	writeAuditStopFixture@235 os.WriteFile path[0]=absolute
cmd/metasystem/audit_test.go	unknown-external-path	7f02966db538a2cc	f02017254d341e6b	fixture-data	writeAuditStopFixture operation 7f02966db538a2cc reviewed fixture path or command wrapper	writeAuditStopFixture@232 os.MkdirAll path[0]=filepath.Dir(absolute)
cmd/metasystem/audit_test.go	unknown-external-path	d994257d4d4bb04c	39fed036e2f13164	fixture-data	TestAuditDependencyRatchetRelayReportsPathLineAndExit operation d994257d4d4bb04c reviewed fixture path or command wrapper	TestAuditDependencyRatchetRelayReportsPathLineAndExit@17 os.MkdirAll path[0]=filepath.Dir(path)
cmd/metasystem/behavior_surface_test.go	process-stream	c562ec2ea5070d1f	f4a5b42222cbe880	process-private	withBehaviorSurfaceStreams owns standard input and output inside the isolated cmd/metasystem test process and cleanup restores both after the flush-error consumer	withBehaviorSurfaceStreams@25 assignment os.Stdin, os.Stdout = in, readOnly
cmd/metasystem/behavior_surface_test.go	process-stream	f2accf2dac2fb615	f4a5b42222cbe880	process-private	withBehaviorSurfaceStreams owns standard input and output inside the isolated cmd/metasystem test process and cleanup restores both after the flush-error consumer	withBehaviorSurfaceStreams@27 assignment os.Stdin, os.Stdout = priorIn, priorOut
cmd/metasystem/behavior_surface_test.go	unknown-external-path	eb8ddce603612e69	89625207112cea12	fixture-data	TestBehaviorSurfaceListFailsOnFlushError operation eb8ddce603612e69 reviewed fixture path or command wrapper	TestBehaviorSurfaceListFailsOnFlushError@46 os.MkdirAll path[0]=filepath.Dir(path)
cmd/metasystem/brain_boot_test.go	external-executable	4d63a8ef739aa468	1a130c883aab18bb	host-readonly	TestBrainBootKeepsPhaseOneWhenOptionalInputChildFails operation 4d63a8ef739aa468 operating-system executable or read-only path owner	TestBrainBootKeepsPhaseOneWhenOptionalInputChildFails@83 exec.Command path[0]="sh"
cmd/metasystem/brain_boot_test.go	external-executable	770fd5b9bc505afc	c2a9fb423f9338d0	host-readonly	TestBrainBootDeadlineKeepsCompletedSections executes the owned test binary from os.Args[0]	TestBrainBootDeadlineKeepsCompletedSections@143 exec.Command path[0]=os.Args[0]
cmd/metasystem/brain_boot_test.go	process-signal	46ad087e471b154b	c0e54b2796339dcb	process-private	TestBrainBootDeadlineKeepsCompletedSections operation 46ad087e471b154b isolated by testenv.Main process boundary	TestBrainBootDeadlineKeepsCompletedSections@104 call signal.Notify(terminated, syscall.SIGTERM)
cmd/metasystem/brain_boot_test.go	process-signal	bee37830be33a4d6	e617fe1feee51e7d	process-private	runBrainBootThreeSectionsChild owns the SIGTERM disposition inside its exact private helper process until the completion marker is written	runBrainBootThreeSectionsChild@215 call signal.Notify(terminated, syscall.SIGTERM)
cmd/metasystem/brain_boot_test.go	unknown-external-path	203ab829317ccab8	5283ec8656b89b6d	fixture-data	TestBrainBootDeadlineKeepsThreeCompletedSections fixture namespace owns commandTestExecutable(t)	TestBrainBootDeadlineKeepsThreeCompletedSections@203 exec.Command path[0]=commandTestExecutable(t)
cmd/metasystem/brain_boot_test.go	unknown-external-path	220373ca1a02421a	c4b163981da07b69	fixture-data	TestBrainBootDeadlineKeepsCompletedSections operation 220373ca1a02421a reviewed fixture path or command wrapper	TestBrainBootDeadlineKeepsCompletedSections@105 os.WriteFile path[0]=os.Getenv("BRAIN_BOOT_ASKS_PATH")
cmd/metasystem/brain_boot_test.go	unknown-external-path	35431b2bb9a2ecbf	75af356d732cbcfe	fixture-data	"runBrainBootThreeSectionsChild fixture namespace owns os.Getenv(""BRAIN_BOOT_TERM_PATH"")"	runBrainBootThreeSectionsChild@237 os.WriteFile path[0]=os.Getenv("BRAIN_BOOT_TERM_PATH")
cmd/metasystem/brain_boot_test.go	unknown-external-path	41d4447c5e4e5c72	b8d43ca796c666f8	fixture-data	TestBrainStartDeliveredAdvancesOnlyTheEmittedBrainDigest operation 41d4447c5e4e5c72 reviewed fixture path or command wrapper	TestBrainStartDeliveredAdvancesOnlyTheEmittedBrainDigest@410 os.MkdirAll path[0]=filepath.Join(root, "records")
cmd/metasystem/brain_boot_test.go	unknown-external-path	4b7cfca53c3d460d	b8d43ca796c666f8	fixture-data	TestBrainStartDeliveredAdvancesOnlyTheEmittedBrainDigest operation 4b7cfca53c3d460d reviewed fixture path or command wrapper	TestBrainStartDeliveredAdvancesOnlyTheEmittedBrainDigest@435 os.Stat path[0]=narratordigest.CursorPath(root)
cmd/metasystem/brain_boot_test.go	unknown-external-path	51335d4fbad3edda	1c9c73f0926ebe66	fixture-data	TestBrainStartDeliveredRefusesChangedDeclaration operation 51335d4fbad3edda reviewed fixture path or command wrapper	TestBrainStartDeliveredRefusesChangedDeclaration@402 os.Stat path[0]=brain.StatusPath(root)
cmd/metasystem/brain_boot_test.go	unknown-external-path	540a64954b93564d	ac70a6dfea9c0f2b	fixture-data	declaredBrainBootTestRoot operation 540a64954b93564d reviewed fixture path or command wrapper	declaredBrainBootTestRoot@54 os.MkdirAll path[0]=filepath.Join(root, "records", "misc")
cmd/metasystem/brain_boot_test.go	unknown-external-path	5b322c11d2aed10f	b8d43ca796c666f8	fixture-data	TestBrainStartDeliveredAdvancesOnlyTheEmittedBrainDigest operation 5b322c11d2aed10f reviewed fixture path or command wrapper	TestBrainStartDeliveredAdvancesOnlyTheEmittedBrainDigest@432 os.Stat path[0]=narratordigest.CursorPath(root, "brain")
cmd/metasystem/brain_boot_test.go	unknown-external-path	71912f48ab698e0b	b8d43ca796c666f8	fixture-data	TestBrainStartDeliveredAdvancesOnlyTheEmittedBrainDigest operation 71912f48ab698e0b reviewed fixture path or command wrapper	TestBrainStartDeliveredAdvancesOnlyTheEmittedBrainDigest@413 os.WriteFile path[0]=filepath.Join(root, "records", "narrator-digest.log")
cmd/metasystem/brain_boot_test.go	unknown-external-path	97c9fd41d4b9586a	ac70a6dfea9c0f2b	fixture-data	declaredBrainBootTestRoot operation 97c9fd41d4b9586a reviewed fixture path or command wrapper	declaredBrainBootTestRoot@68 os.MkdirAll path[0]=filepath.Dir(brain.Path(root))
cmd/metasystem/brain_boot_test.go	unknown-external-path	aa7cd35d7541dd18	df8dd12744ea4d60	fixture-data	runBrainBootThreeSectionsBody fixture namespace owns commandTestExecutable(t)	runBrainBootThreeSectionsBody@268 exec.Command path[0]=commandTestExecutable(t)
cmd/metasystem/brain_boot_test.go	unknown-external-path	b339f777b4ab9595	1c9c73f0926ebe66	fixture-data	TestBrainStartDeliveredRefusesChangedDeclaration operation b339f777b4ab9595 reviewed fixture path or command wrapper	TestBrainStartDeliveredRefusesChangedDeclaration@381 os.ReadFile path[0]=brain.Path(root)
cmd/metasystem/brain_boot_test.go	unknown-external-path	b81589c3b20000ce	ac70a6dfea9c0f2b	fixture-data	declaredBrainBootTestRoot operation b81589c3b20000ce reviewed fixture path or command wrapper	declaredBrainBootTestRoot@57 os.WriteFile path[0]=filepath.Join(root, brain.PacketRelativePath)
cmd/metasystem/brain_boot_test.go	unknown-external-path	c9920f0d4b71f7aa	c4b163981da07b69	fixture-data	TestBrainBootDeadlineKeepsCompletedSections operation c9920f0d4b71f7aa reviewed fixture path or command wrapper	TestBrainBootDeadlineKeepsCompletedSections@116 os.WriteFile path[0]=os.Getenv("BRAIN_BOOT_TERM_PATH")
cmd/metasystem/brain_boot_test.go	unknown-external-path	cfb6f00714b89c79	ac70a6dfea9c0f2b	fixture-data	declaredBrainBootTestRoot operation cfb6f00714b89c79 reviewed fixture path or command wrapper	declaredBrainBootTestRoot@71 os.WriteFile path[0]=brain.Path(root)
cmd/metasystem/brain_boot_test.go	unknown-external-path	f13e765afbfa7655	75af356d732cbcfe	fixture-data	runBrainBootThreeSectionsChild fixture namespace owns section.path	runBrainBootThreeSectionsChild@225 os.WriteFile path[0]=section.path
cmd/metasystem/brain_boot_test.go	unknown-external-path	f39a8da6d9783322	1c9c73f0926ebe66	fixture-data	TestBrainStartDeliveredRefusesChangedDeclaration operation f39a8da6d9783322 reviewed fixture path or command wrapper	TestBrainStartDeliveredRefusesChangedDeclaration@394 os.WriteFile path[0]=brain.Path(root)
cmd/metasystem/brain_boot_test.go	unknown-external-path	fd04318c3995b26a	8187862bca9a30a0	fixture-data	TestBrainReadOnlyBootDefersStatusUntilStartDelivered operation fd04318c3995b26a reviewed fixture path or command wrapper	TestBrainReadOnlyBootDefersStatusUntilStartDelivered@361 os.Stat path[0]=statusPath
cmd/metasystem/cadence_trigger_batchtest_test.go	unknown-external-path	11efb811158bc93d	8f2b68224f85d8b9	fixture-data	TestCadenceTickSurfacesPlantedDeepOnlyRedWithoutDeepLanding operation 11efb811158bc93d reviewed fixture path or command wrapper	TestCadenceTickSurfacesPlantedDeepOnlyRedWithoutDeepLanding@93 os.WriteFile path[0]=conf
cmd/metasystem/cadence_trigger_batchtest_test.go	unknown-external-path	4b8c63169f98d36b	8f2b68224f85d8b9	fixture-data	TestCadenceTickSurfacesPlantedDeepOnlyRedWithoutDeepLanding operation 4b8c63169f98d36b reviewed fixture path or command wrapper	TestCadenceTickSurfacesPlantedDeepOnlyRedWithoutDeepLanding@65 os.WriteFile path[0]=filepath.Join(landingRoot, "app", "deep.flag")
cmd/metasystem/cadence_trigger_batchtest_test.go	unknown-external-path	4b8c63169f98d36b-2	8f2b68224f85d8b9	fixture-data	TestCadenceTickSurfacesPlantedDeepOnlyRedWithoutDeepLanding operation 4b8c63169f98d36b-2 reviewed fixture path or command wrapper	TestCadenceTickSurfacesPlantedDeepOnlyRedWithoutDeepLanding@123 os.WriteFile path[0]=filepath.Join(landingRoot, "app", "deep.flag")
cmd/metasystem/cadence_trigger_batchtest_test.go	unknown-external-path	c2c501cd6e54ba74	8f2b68224f85d8b9	fixture-data	TestCadenceTickSurfacesPlantedDeepOnlyRedWithoutDeepLanding operation c2c501cd6e54ba74 reviewed fixture path or command wrapper	TestCadenceTickSurfacesPlantedDeepOnlyRedWithoutDeepLanding@89 os.ReadFile path[0]=conf
cmd/metasystem/cadence_trigger_batchtest_test.go	unknown-external-path	d92bf049b6a2cf39	8f2b68224f85d8b9	fixture-data	TestCadenceTickSurfacesPlantedDeepOnlyRedWithoutDeepLanding operation d92bf049b6a2cf39 reviewed fixture path or command wrapper	TestCadenceTickSurfacesPlantedDeepOnlyRedWithoutDeepLanding@62 os.MkdirAll path[0]=filepath.Join(landingRoot, "app")
cmd/metasystem/cadence_trigger_batchtest_test.go	unknown-external-path	e3e5fb8f0939c955	8f2b68224f85d8b9	fixture-data	TestCadenceTickSurfacesPlantedDeepOnlyRedWithoutDeepLanding operation e3e5fb8f0939c955 reviewed fixture path or command wrapper	TestCadenceTickSurfacesPlantedDeepOnlyRedWithoutDeepLanding@85 os.WriteFile path[0]=filepath.Join(landingRoot, "testing.json")
cmd/metasystem/channel_verbs_test.go	process-environment	4c18eb36941abdca	d55e7eb25ac84bda	process-private	TestWaitChannelAnswer operation 4c18eb36941abdca isolated by testenv.Main process boundary	TestWaitChannelAnswer@127 call t.Setenv("METASYSTEM_OWNER_LINEAGE", "lineage-a")
cmd/metasystem/channel_verbs_test.go	process-environment	7e1496079990e471	b95f6024eca6ef00	process-private	TestTelegramPeekTokenNeverAppearsInErrors operation 7e1496079990e471 isolated by testenv.Main process boundary	TestTelegramPeekTokenNeverAppearsInErrors@323 call t.Setenv(config.EnvName("channel.destination.fleet.telegram.bot-token"), token)
cmd/metasystem/channel_verbs_test.go	process-environment	ba42dda0bd5ba388	d209517ee716b469	process-private	TestTelegramPeekWorksWithoutConfiguredAdapterOrChatID operation ba42dda0bd5ba388 isolated by testenv.Main process boundary	TestTelegramPeekWorksWithoutConfiguredAdapterOrChatID@311 call t.Setenv(config.EnvName("channel.destination.fleet.telegram.bot-token"), "environment-token")
cmd/metasystem/channel_verbs_test.go	unknown-external-path	385c9077d5dadd17	78c894555e4c2367	fixture-data	TestWaitChannelAnswer operation 385c9077d5dadd17 reviewed fixture path or command wrapper	TestWaitChannelAnswer@209 os.WriteFile path[0]=metarun.WaiterPath(root, channelRow.Kind, channelRow.TargetID, channelRow.OwnerDigest)
cmd/metasystem/channel_verbs_test.go	unknown-external-path	50d83c703c184b3c	d88496eae6e4f60c	fixture-data	TestChannelStatusPostSeedsAnUnbootedBrainStatus operation 50d83c703c184b3c reviewed fixture path or command wrapper	TestChannelStatusPostSeedsAnUnbootedBrainStatus@288 os.WriteFile path[0]=brain.Path(root)
cmd/metasystem/channel_verbs_test.go	unknown-external-path	5f69f136f2d0249f	d88496eae6e4f60c	fixture-data	TestChannelStatusPostSeedsAnUnbootedBrainStatus operation 5f69f136f2d0249f reviewed fixture path or command wrapper	TestChannelStatusPostSeedsAnUnbootedBrainStatus@285 os.MkdirAll path[0]=filepath.Dir(brain.Path(root))
cmd/metasystem/channel_verbs_test.go	unknown-external-path	71f0096704733985	d88496eae6e4f60c	fixture-data	TestChannelStatusPostSeedsAnUnbootedBrainStatus operation 71f0096704733985 reviewed fixture path or command wrapper	TestChannelStatusPostSeedsAnUnbootedBrainStatus@266 os.OpenFile path[0]=filepath.Join(root, "metasystem.conf")
cmd/metasystem/channel_verbs_test.go	unknown-external-path	7557e28d94a9775c	d88496eae6e4f60c	fixture-data	TestChannelStatusPostSeedsAnUnbootedBrainStatus operation 7557e28d94a9775c reviewed fixture path or command wrapper	TestChannelStatusPostSeedsAnUnbootedBrainStatus@291 os.Stat path[0]=brain.StatusPath(root)
cmd/metasystem/channel_verbs_test.go	unknown-external-path	ad780bf0e1275eb8	78c894555e4c2367	fixture-data	TestWaitChannelAnswer operation ad780bf0e1275eb8 reviewed fixture-owned path or command wrapper	TestWaitChannelAnswer@188 os.WriteFile path[0]=filepath.Join(root, "artifacts", "agents", "channel", "questions", questionA.ID+".json")
cmd/metasystem/channel_verbs_test.go	unknown-external-path	b0a6da50152d1f9d	78c894555e4c2367	fixture-data	TestWaitChannelAnswer operation b0a6da50152d1f9d reviewed fixture path or command wrapper	TestWaitChannelAnswer@202 os.MkdirAll path[0]=metarun.WaitersDir(root)
cmd/metasystem/channel_verbs_test.go	unknown-external-path	bce789d02566da6d	87dd0a6c9cf179bc	fixture-data	TestTelegramPeekWorksWithoutConfiguredAdapterOrChatID operation bce789d02566da6d reviewed fixture path or command wrapper	TestTelegramPeekWorksWithoutConfiguredAdapterOrChatID@312 os.WriteFile path[0]=filepath.Join(dir, "replies.jsonl")
cmd/metasystem/channel_verbs_test.go	unknown-external-path	bf7df1d0294f8cb2	eb330d62d95e13f7	fixture-data	TestConfigurationIndependentChannelVerbs operation bf7df1d0294f8cb2 reviewed fixture-owned path or command wrapper	TestConfigurationIndependentChannelVerbs@61 os.WriteFile path[0]=filepath.Join(root, "artifacts", "agents", "channel", "questions", q.ID+".json")
cmd/metasystem/channel_verbs_test.go	unknown-external-path	fa5afb024f91b408	5e4f138758a1fc8c	fixture-data	TestChannelStatusUsesOnlyTheRootAuthorizedSemanticClock fixture namespace owns commandTestExecutable(t)	TestChannelStatusUsesOnlyTheRootAuthorizedSemanticClock@383 exec.Command path[0]=commandTestExecutable(t)
cmd/metasystem/claim_launch_process_darwin_test.go	external-executable	5214f9f3423e4474	0e3373430908fc52	host-readonly	TestClaimLaunchCapabilitySurvivesRelativeExecutableProcessShape operation 5214f9f3423e4474 operating-system executable or read-only path owner	TestClaimLaunchCapabilitySurvivesRelativeExecutableProcessShape@62 exec.Command path[0]=filepath.Join("bin", "metasystem.test")
cmd/metasystem/claim_launch_process_darwin_test.go	unknown-external-path	459fd20f896ab50d	806fea48fc6eae13	fixture-data	TestClaimLaunchCapabilitySurvivesRelativeExecutableProcessShape operation 459fd20f896ab50d reviewed fixture path or command wrapper	TestClaimLaunchCapabilitySurvivesRelativeExecutableProcessShape@43 os.MkdirAll path[0]=binDir
cmd/metasystem/claim_launch_process_darwin_test.go	unknown-external-path	8384e10bf9ef89b8	806fea48fc6eae13	fixture-data	TestClaimLaunchCapabilitySurvivesRelativeExecutableProcessShape operation 8384e10bf9ef89b8 reviewed fixture path or command wrapper	TestClaimLaunchCapabilitySurvivesRelativeExecutableProcessShape@50 os.ReadFile path[0]=self
cmd/metasystem/claim_launch_test.go	host-time-read	fefb13fba291cad7	9d5cc4345699b2b7	fixture-time	TestClaimLaunchVerbEmitsMachineReadableOutcome operation fefb13fba291cad7 reviewed fixture clock owner	TestClaimLaunchVerbEmitsMachineReadableOutcome@141 call time.Now()
cmd/metasystem/claim_launch_test.go	process-environment	5a985083f730965a	700e9c921e18c33c	process-private	TestClaimLaunchInternalSurfaceRequiresMarkerAndBearerCapability operation 5a985083f730965a isolated by testenv.Main process boundary	TestClaimLaunchInternalSurfaceRequiresMarkerAndBearerCapability@182 call t.Setenv("METASYSTEM_DELEGATE_INTERNAL", "")
cmd/metasystem/claim_launch_test.go	process-environment	787bd7964b80576c	700e9c921e18c33c	process-private	TestClaimLaunchInternalSurfaceRequiresMarkerAndBearerCapability operation 787bd7964b80576c isolated by testenv.Main process boundary	TestClaimLaunchInternalSurfaceRequiresMarkerAndBearerCapability@186 call t.Setenv("METASYSTEM_DELEGATE_INTERNAL", "1")
cmd/metasystem/claim_launch_test.go	process-environment	a35efd914b8534d0	700e9c921e18c33c	process-private	TestClaimLaunchInternalSurfaceRequiresMarkerAndBearerCapability operation a35efd914b8534d0 isolated by testenv.Main process boundary	TestClaimLaunchInternalSurfaceRequiresMarkerAndBearerCapability@187 call t.Setenv(delegateClaimCapabilityEnv, "")
cmd/metasystem/claim_launch_test.go	process-environment	d39a5a8e096db1e3	4f24e02c01cd2b7c	process-private	setClaimLaunchCapability owns the delegate capability variables for claim-launch consumers inside the isolated cmd/metasystem test process	setClaimLaunchCapability@60 call t.Setenv(delegateClaimCapabilityEnv, raw)
cmd/metasystem/claim_launch_test.go	process-environment	ea2a3435d83ceeac	700e9c921e18c33c	process-private	TestClaimLaunchInternalSurfaceRequiresMarkerAndBearerCapability operation ea2a3435d83ceeac isolated by testenv.Main process boundary	TestClaimLaunchInternalSurfaceRequiresMarkerAndBearerCapability@181 call t.Setenv(delegateClaimCapabilityEnv, raw)
cmd/metasystem/claim_launch_test.go	process-environment	ea2a3435d83ceeac-2	700e9c921e18c33c	process-private	TestClaimLaunchInternalSurfaceRequiresMarkerAndBearerCapability operation ea2a3435d83ceeac-2 isolated by testenv.Main process boundary	TestClaimLaunchInternalSurfaceRequiresMarkerAndBearerCapability@191 call t.Setenv(delegateClaimCapabilityEnv, raw)
