priority	sequence	goal_id	title	ledger_state	previous_report_number
3	12	steward-owned-execution	Make the steward own background execution	approved	3.12
3	13	arming-dead-owner-takeover	Recover automatically from a dead supervisor	approved	3.13
3	14	same-process-succession	Preserve identity for the same live process	approved	3.14
3	15	vm-epoch-identity-drift	Tolerate proven process identity timing drift	approved	3.15
3	16	host-health-role	Notice machine resource exhaustion	approved	3.16
3	17	metasystem-stop-fleet-form	Stop or inspect every enrolled checkout	queued	3.17
3	18	shutdown-claims-more-than-it-stops	Make the internal shutdown message truthful	queued	3.18
3	19	stop-message-truth	Report actual work at the end of a turn	approved	3.19
3	20	stop-refusal-fits-on-one-screen	Keep stop refusals readable	approved	3.20
3	21	stop-hook-arming-failure-drops-the-cause	Explain why supervision could not start	queued	3.21
3	22	human-digest-reads-under-the-toplevel	Read the human digest from the correct root	queued	3.22
3	23	plan-fields-outside-fences	Ignore example metadata in code blocks	queued	3.23
3	24	hook-demands-what-landing-forbids	Resolve contradictory plan-repair instructions	queued	3.24
3	25	ki-23-acknowledged-process	Acknowledge an exact harmless process	approved	3.25
3	26	answer-archive	Preserve every human answer	queued	3.26
3	27	channel-tells-me-when-something-lands	Notify when a slice or goal finishes	approved	3.27
3	28	narrator-digests	Summarize what changed and what mattered	approved	3.28
3	29	transport-sync-law	Keep repository transport consistent	approved	3.29
3	30	native-spend-cap-retirement	Retire the harmful default worker dollar cap	approved	3.30
3	31	budget-death-on-return	Preserve completed work when a budget ends	approved	3.31
3	32	runtime-limit-is-not-a-protocol-error	Treat provider limits as capacity waits	queued	3.32
3	33	brief-authority-preflight	Verify a brief's cited material before dispatch	approved	3.33
3	34	empty-brief-admitted	Refuse a brief with no task	queued	3.34
3	35	follow-up-brief-cannot-cite-fresh-trunk-files	Deliver newly landed context to follow-ups	queued	3.35
3	36	follow-up-brief-cannot-cite-round-created-files	Let follow-ups cite their own new files	queued	3.36
3	37	follow-up-rebase-drop-failure-names-hash	Make leftover-stash recovery actionable	queued	3.37
3	38	gap-rule-deletes-built-work	Keep partial work when a boundary is reached	queued	3.38
3	39	malformed-return-field-loses-the-round	Recover useful output from a malformed return	queued	3.39
3	40	critic-return-identity-loses-the-round	Stamp critic identity mechanically	approved	3.40
3	41	boundary-declaration-repair	Repair an earlier malformed file boundary	approved	3.41
3	42	critique-stamp-follow-up	Bind a follow-up review to the current work	approved	3.42
3	43	delegate-exec-channel	Let restricted delegates build and verify	approved	3.43
3	44	delegate-sandbox-cannot-run-the-beds	Let delegates run owned process tests safely	queued	3.44
3	45	uncapped-delegate-fanout	Prevent unowned nested workers	approved	3.45
3	46	claude-denywrite-list-is-a-snapshot	Protect files created after sandbox setup	queued	3.46
3	47	claude-network-allow-does-not-allow	Make network permissions match reality	queued	3.47
3	48	claude-delegate-effort-is-recorded-not-sent	Send the reasoning effort that records claim	queued	3.48
3	49	fable-effort-high	Apply the requested model effort setting	approved	3.49
3	50	fable-5-1-model-rollover	Complete the recorded model rollover	approved	3.50
3	51	claude-delegate-scratch-cleanup	Clean up each worker's temporary directory	approved	3.51
3	52	codex-capacity-outage-2026-08-31	Review the recorded provider outage	approved	3.52
3	53	seam-declaration-convergence	Keep runtime capability declarations consistent	approved	3.53
3	54	seam-eventstream-error-surface	Distinguish stream completion from read failure	approved	3.54
3	55	conformance-round-immutability	Keep recorded review evidence immutable	approved	3.55
3	56	conformance-runtime-state-litter	Separate harmless runtime files from tampering	queued	3.56
3	57	dispatch-bases-chains-on-the-remote-tip	Start work from current shared source	approved	3.57
3	58	design-pages-land-without-the-battery	Match design-document proof to changed files	queued	3.58
3	59	land-retry-rediscards-valid-receipt	Reuse proof when a landing retry changes nothing	queued	3.59
3	60	landing-refusal-names-the-record-rule	Explain which record-ownership rule refused	queued	3.60
3	61	digest-landing-race	Stop live log writes racing with landings	approved	3.61
3	62	digest-union-merge	Merge append-only shared logs automatically	approved	3.62
3	63	human-carried-landing	Record the human fast-track audit	approved	3.63
3	64	human-carried-landing-carry	Implement the authorized human fast track	approved	3.64
3	65	land-verb-pruning	Move landing decisions into the engine	approved	3.65
3	66	rounds-prove-with-the-smallest-run	Use focused proof during iterative work	queued	3.66
3	67	standing-validation	Carry recurring full-system validation	approved	3.67
3	68	validation-harvest-mode	Collect all failures in one validation run	approved	3.68
3	69	nested-gate-witness-reuse	Reuse valid proof inside adoption checks	approved	3.69
3	70	battery-adoption-red	Resolve the residual adoption validation failure	approved	3.70
3	71	adopt-bed-authority-probe-passes-tier	Update adoption's obsolete intake flags	approved	3.71
3	72	adopt-bed-gate-unreachable-under-load	Let adoption tests reach their actual scenarios	approved	3.72
3	73	dispatch-fixture-refused-by-goal-norm	Bring the dispatch fixture within budget law	queued	3.73
3	74	dispatch-fixture-recollection-pass-budget	Give recollection the required test passes	approved	3.74
3	75	fixture-default-branch-assumption	Make test repository branches explicit	approved	3.75
3	76	fixture-review-by-date-rolls-over	Remove calendar-expiring fixture authority	approved	3.76
3	77	fixture-enrollment-notes	Finish fixture enrollment review residuals	queued	3.77
3	78	fixture-scripts-call-python3-outside-declared-sites	Keep fixture dependencies within the inventory	queued	3.78
3	79	goal-suite-sits-on-the-default-test-timeout	Give goal tests reliable execution margin	queued	3.79
3	80	missionrunner-terminate-flake	Make termination tests reliable under load	approved	3.80
3	81	missionrunner-tests-count-attempts	Base runner tests on observable progress	approved	3.81
3	82	suite-flake-supervision-watch	Diagnose intermittent run-watch termination	approved	3.82
3	83	steward-tick-stop-on-failure	Clean up the test runner after assertions fail	approved	3.83
3	84	supervise-start-gate-linux-red	Preserve the startup gate test on Linux	approved	3.84
3	85	supervision-fixture-child-custody-join	Repair the fixture's child-custody join	approved	3.85
3	86	supervision-fixture-self-check-announcement-scan	Make fixture isolation checks accurate	approved	3.86
3	87	watchdog-kill-observation-gap	Record real assumptions after a test kill	approved	3.87
3	88	hook-root-resolver-design	Resolve the correct installation from hooks	approved	3.88
3	89	repo-flag-resolves-one-root	Make repository flags mean one thing	approved	3.89
3	90	runtime-install-execution	Make installation resumable and crash-safe	approved	3.90
3	91	registry-design-names-selection-rows	Document and observe registry selection rules	approved	3.91
3	92	python3-kit-port	Retire the last Python fixture dependency	approved	3.92
3	93	os-dependency-reduction	Reduce external tool dependencies	approved	3.93
3	94	go-toolchain-pinned-in-go-mod	Superseded toolchain-pinning proposal	queued	3.94
3	95	channel-totp-verified-at-poll-time	Duplicate delayed-answer verification issue	parked	3.95
3	96	codex-handshake-budget	Duplicate slow-start issue	parked	3.96
3	97	codex-handshake-budget-load-fragile	Handle slow but healthy Codex startup	parked	3.97
3	98	effort-by-complexity-per-model	Configure effort per runtime, model and change class	parked	3.98
3	99	mission-completion-protocol	Finish mission completion semantics	parked	3.99
3	100	open-work-scanner-blindspots	Detect work outside this checkout's job list	parked	3.100
3	101	continuous-self-improvement	Turn observed process problems into improvements	approved	4.01
3	102	suite-outcomes-as-steward-incidents	Treat failed or vanished suites as incidents	approved	4.02
3	103	incident-proposal-drafting	Turn incidents into proposals for discussion	approved	4.03
3	104	counselor	Advise on gaps between the app and its protections	queued	4.04
3	105	precedent-index	Make past rulings usable as precedent	approved	4.05
3	106	reconciliation-guards	Compare independent records that should agree	approved	4.06
3	107	paid-proof-authorization	Budget expensive proof runs explicitly	approved	4.07
3	108	metasystem-way-patterns	Teach reusable engineering practices	approved	4.08
3	109	cross-repo-guardrails	Enforce constraints stored in another repository	approved	4.09
3	110	app-guardrail-custody	Protect the application's own test constraints	approved	4.10
3	111	app-doctrine	Evolve the application's own engineering guidance	approved	4.11
3	112	app-guardrail-program	Prove safe autonomous work on a new application	approved	4.12
3	113	integration-branch	Support a designated integration branch	approved	4.13
3	114	disk-hygiene	Give generated files a lifecycle	parked	4.14
3	115	paper-prose	Finish the MetaSystem concept paper	approved	4.15
3	116	alert-escalation-channel	Deliver urgent alerts and batched digests	approved	4.16
3	117	ledger-authentication	Reject forged human-authority history	queued	4.17
3	118	design-prohibition-is-role-scoped	Allow design authoring in the design role	queued	new
3	119	enrollment-proves-a-human-not-a-terminal	Require human proof when enrolling a terminal	queued	new
3	120	closing-read-follows-the-change-not-the-label	Base the closing review on the actual change	queued	new
3	121	capped-round-continues-instead-of-restarting	Continue partial work after a capped round	queued	new
